Label,vfbLabel,XML ,ThisBox,NoBoxes,BoxSize,xMin,yMin,xMax,yMax
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-05-17_16-22-00_sideRight/0002640.xml,1,1,1122408,349,367,1920,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-03-22_17-39-26_3_sideLeft/0006240.xml,1,1,1030320,1,1,954,1080
vehicle fallback,trailer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_13-21-45_sideLeft/0003300.xml,1,1,1019696,1,450,1616,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-03-22_17-39-26_3_sideLeft/000624_r.xml,1,1,1006560,1,1,932,1080
vehicle fallback,trailer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_13-21-45_sideLeft/000330_r.xml,1,1,999096,2,453,1597,1078
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000749.xml,1,1,979450,932,1,1881,1031
vehicle fallback,trailer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_13-21-45_sideLeft/000285_r.xml,1,2,968416,6,373,1701,943
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0001274.xml,1,5,949892,1006,2,1921,1038
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-05-14_13-38-46_sideLeft/0004560.xml,1,1,935280,1,1,866,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000674.xml,2,2,903960,1085,1,1921,1080
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_10-49-32_sideRight/0007530.xml,1,1,903810,511,440,1920,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000899.xml,1,4,870300,1019,1,1918,967
vehicle fallback,bulldozer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-17_15-45-06_sideLeft/0002040.xml,1,1,854382,246,164,1332,949
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-29_10-49-32_sideLeft/0001275.xml,1,2,847014,26,174,963,1076
vehicle fallback,water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-17_16-48-54_frontNear/0002340.xml,2,2,835332,291,170,1212,1075
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-26-52_sideLeft_right/0008025.xml,1,1,827640,426,454,1745,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000974.xml,1,5,822828,1158,1,1921,1077
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0001649.xml,1,2,802819,1171,1,1921,1069
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-44-27_sideLeft/0008340.xml,1,1,793800,1,1,735,1080
vehicle fallback,water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-17_16-48-54_frontNear/0001920.xml,1,1,791943,387,122,1217,1074
vehicle fallback,water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-17_16-48-54_frontNear/0002220.xml,1,1,788880,319,162,1183,1073
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-26-52_sideLeft_left/0007167.xml,2,2,775420,358,62,1489,746
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/001414_r.xml,1,1,769643,1,286,973,1076
vehicle fallback,water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-17_16-48-54_frontNear/0001980.xml,1,1,758359,393,157,1219,1073
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-05-29_10-59-01_sideLeft/0003705.xml,1,1,756900,1,240,900,1080
vehicle fallback,excavator,IDD_Detection/Annotations/sideLeft/BLR-2018-03-22_17-39-26_3_sideLeft/0002940.xml,1,1,756028,983,1,1920,806
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_10-59-01_sideRight/0003435.xml,1,1,754416,282,457,1490,1080
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_10-59-01_sideRight/000343_r.xml,1,1,749329,196,440,1364,1080
vehicle fallback,excavator,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-34-27_sideLeft/0007260.xml,1,1,714439,1,84,1177,690
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000824.xml,1,4,713818,1004,1,1764,938
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-44-27_sideLeft/000834_r.xml,1,1,707350,2,6,659,1080
vehicle fallback,excavator,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_18/0001649.xml,1,2,699975,1157,1,1921,915
vehicle fallback,crane,IDD_Detection/Annotations/highquality_16k/HYD-2018-04-26_13-30-01/0005473.xml,2,2,694800,850,1,1749,772
vehicle fallback,excavator,IDD_Detection/Annotations/sideLeft/BLR-2018-03-22_17-39-26_3_sideLeft/000294_r.xml,1,1,693105,978,1,1920,735
vehicle fallback,crane,IDD_Detection/Annotations/sideRight/BLR-2018-06-05_08-50-18_sideRight/0000240.xml,1,3,688389,340,12,1268,752
vehicle fallback,water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-04-16_15-24-27_sideRight/000108_r.xml,1,2,688228,934,207,1919,904
vehicle fallback,excavator,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-34-27_sideLeft/000726_r.xml,1,1,683634,3,24,1193,597
vehicle fallback,crane,IDD_Detection/Annotations/sideRight/BLR-2018-06-05_08-50-18_sideRight/000024_r.xml,2,2,679320,258,1,1175,740
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/0000105.xml,1,1,666601,2,466,1092,1076
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/0000060.xml,1,1,660020,4,466,1085,1075
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-04-16_15-34-27_sideRight/0008340.xml,2,2,658362,1305,3,1917,1076
vehicle fallback,street cart,IDD_Detection/Annotations/sideRight/BLR-2018-05-09_12-43-24_sideRight/0001020.xml,1,1,653877,648,326,1520,1074
vehicle fallback,tractor,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-11_13-42-30_sideRight_left/0005730.xml,1,1,652292,167,329,1418,849
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_11-54-07_sideLeft/0007710.xml,1,1,648600,116,314,1035,1018
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/000006_r.xml,1,1,648128,4,469,1069,1076
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/0000150.xml,1,1,646064,2,475,1085,1070
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-29_10-49-32_sideLeft/0002220.xml,3,3,634266,355,448,1356,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_11-19-12_sideRight/000055_r.xml,1,1,628000,494,295,1293,1079
vehicle fallback,water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-04-16_15-24-27_sideRight/0001080.xml,2,2,623579,1005,201,1917,883
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/000015_r.xml,1,1,617652,1,479,1026,1080
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/000010_r.xml,1,1,612836,3,477,1020,1078
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-22_12-24-44_sideRight/000586_r.xml,1,1,611235,1216,214,1920,1080
vehicle fallback,tractor,IDD_Detection/Annotations/rearNear/BLR-2018-05-29_11-19-12_rearNear/000064_r.xml,1,1,610200,1,1,565,1080
vehicle fallback,water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-17_16-48-54_frontNear/0002160.xml,1,1,597112,423,214,1161,1021
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_11-54-07_sideLeft/000771_r.xml,1,1,588525,95,353,979,1017
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-04-16_15-44-27_sideRight/000084_r.xml,1,1,583480,1341,1,1920,1006
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-04-16_15-44-27_sideRight/0000180.xml,1,2,575456,1184,2,1917,785
vehicle fallback,water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-17_16-48-54_frontNear/0002400.xml,1,1,566078,608,143,1305,953
vehicle fallback,trailer,IDD_Detection/Annotations/highquality_16k/BLR-2018-04-26_13-35-08_frontNear_left/0005160.xml,1,1,566016,1117,377,1920,1080
vehicle fallback,excavator,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-29-10-07-38_part_30/0000600.xml,2,2,564828,1,293,778,1018
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-15-50_sideLeft_left/0009060.xml,1,1,564604,1,296,722,1077
vehicle fallback,excavator,IDD_Detection/Annotations/highquality_16k/BLR-2018-04-26_13-47-52_frontNear_left/0002160.xml,1,2,555594,1,179,663,1016
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0001574.xml,2,2,551725,1098,117,1858,841
vehicle fallback,excavator,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-24_12-52-50/0004799.xml,1,1,550408,2,84,644,939
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-17_16-22-00_sideRight/0001680.xml,1,1,548715,1133,382,1917,1080
vehicle fallback,trailer,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_11-54-07_sideLeft/000240_r.xml,3,3,547375,1,356,755,1080
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/highquality_16k/15-07-18-upload/2018-02-09_15-4-50-407603_leftImg8bit.xml,7,7,544544,4,333,731,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-26-52_sideRight_right/0007619.xml,1,1,543996,1264,224,1920,1051
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-22_13-21-45_sideRight/0006135.xml,5,5,543912,873,517,1920,1035
vehicle fallback,street cart,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-29-10-07-38_part_14/0000735.xml,1,1,540992,55,225,686,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000074.xml,1,3,536037,932,0,1522,906
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-04-26_12-40-01_sideLeft/000012_r.xml,1,1,535472,1105,397,1888,1079
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-05-29_10-59-01_sideLeft/000370_r.xml,1,1,523872,1,469,856,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-04-19_18-16-55_sideRight/0001800.xml,1,1,521536,2,147,563,1074
vehicle fallback,street cart,IDD_Detection/Annotations/sideRight/BLR-2018-05-22_11-54-07_sideRight/0003750.xml,2,2,521259,1204,354,1920,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-05-14_13-29-20_sideLeft/0004800.xml,2,2,516040,1221,168,1899,927
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-05-14_13-29-20_sideLeft/000480_r.xml,2,2,515970,1179,221,1913,922
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/rearNear/BLR-2018-05-22_11-54-07_rearNear/0001455.xml,2,2,508640,1,58,544,992
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-05-22_13-01-18_sideRight/000172_r.xml,1,1,505804,1,268,923,815
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006172.xml,1,1,495708,613,131,1218,948
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006175.xml,1,1,488028,605,143,1211,946
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-06-06_16-41-17_sideLeft/0004605.xml,2,3,480636,1,607,1014,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000599.xml,1,3,473470,1029,36,1593,873
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-24_13-02-50/0000037.xml,5,5,471975,1,1,525,899
vehicle fallback,water tanker,IDD_Detection/Annotations/highquality_16k/BLR-2018-04-30_13-29-45_frontNear_left/0000510.xml,1,1,466011,1350,237,1918,1055
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-31_13-01-28_frontNear/0013875.xml,4,4,464440,1241,398,1920,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-22_12-24-44_sideRight/0005865.xml,1,1,464200,1368,233,1917,1076
vehicle fallback,tractor,IDD_Detection/Annotations/frontNear/BLR-2018-05-22_13-13-31_frontNear/000627_r.xml,1,1,461686,252,382,985,1010
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-04-19_18-16-55_sideRight/000180_r.xml,1,1,460530,4,174,513,1076
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_13-21-45_sideLeft/0003255.xml,1,1,456270,1190,14,1859,694
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-39-45_sideLeft_left/0008700.xml,2,2,454080,547,565,1426,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-39-45_sideRight_right/0008250.xml,1,1,453140,329,477,1143,1032
vehicle fallback,street cart,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-11_13-42-30_sideLeft_right/0006765.xml,1,2,452900,389,434,1088,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006176.xml,1,1,451269,606,174,1214,914
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006166.xml,1,1,447978,633,142,1223,899
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-44-27_sideLeft/0000300.xml,4,4,441040,1325,1,1920,740
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-17_15-45-06_sideRight/000504_r.xml,1,1,437900,23,263,777,842
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/sideRight/BLR-2018-05-22_11-54-07_sideRight/0001365.xml,2,2,436050,141,279,786,953
vehicle fallback,excavator,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-15-50_sideLeft_left/0005100.xml,1,1,435456,987,116,1658,763
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_22/0000149.xml,1,1,431970,762,16,1271,862
vehicle fallback,tractor,IDD_Detection/Annotations/highquality_16k/BLR-2018-04-26_13-35-08_frontNear_left/0004860.xml,1,1,430599,1377,286,1919,1078
vehicle fallback,trailer,IDD_Detection/Annotations/highquality_16k/BLR-2018-04-26_13-35-08_frontNear_left/0004410.xml,1,1,428821,1167,366,1917,936
vehicle fallback,street cart,IDD_Detection/Annotations/sideRight/BLR-2018-05-09_12-43-24_sideRight/0004140.xml,1,1,428288,284,181,761,1076
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006152.xml,1,1,428120,671,197,1226,966
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006177.xml,1,1,427935,606,173,1212,877
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-05-29_10-49-32_sideRight/0003120.xml,1,1,427518,488,512,1241,1078
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-05-14_13-59-12_sideRight/0001080.xml,1,1,426886,468,364,1389,826
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006179.xml,1,1,425256,600,109,1210,804
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-08-05_12-52-17/0006178.xml,1,1,420736,601,143,1208,834
vehicle fallback,street cart,IDD_Detection/Annotations/sideRight/BLR-2018-04-19_17-56-55_sideRight/000780_r.xml,1,1,417091,898,237,1558,867
vehicle fallback,street cart,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-29-10-07-38_part_33/0001050.xml,1,2,414540,2,491,706,1078
vehicle fallback,crane,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-39-45_sideLeft_left/0007665.xml,3,3,414504,2,2,1369,304
vehicle fallback,tractor,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_16-14-27_sideLeft/0003120.xml,1,1,414315,1084,269,1920,763
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_3_sideRight/000294_r.xml,1,1,413224,764,206,1862,581
vehicle fallback,excavator,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-20-07-01-47_part_17/0001424.xml,1,1,412686,200,190,880,795
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-05-14_13-59-12_sideRight/000108_r.xml,1,1,409955,385,354,1285,808
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/HYD-2018-04-26_13-30-01/0001573.xml,2,2,409224,1,326,578,1033
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-31_13-01-28_sideLeft/000775_r.xml,1,1,407982,848,286,1429,986
vehicle fallback,street cart,IDD_Detection/Annotations/sideRight/BLR-2018-05-14_11-40-01_sideRight/0002820.xml,1,1,404874,216,539,962,1080
vehicle fallback,tractor,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_3_sideRight/0002940.xml,1,1,404430,786,194,1890,559
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_11-54-07_sideLeft/0002265.xml,1,2,403585,264,626,1150,1080
vehicle fallback,excavator,IDD_Detection/Annotations/frontNear/BLR-2018-05-31_13-01-28_frontNear/001072_r.xml,1,1,401037,0,277,506,1067
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-06-06_16-10-31_sideLeft/0004965.xml,2,2,400465,240,562,1032,1066
vehicle fallback,ReviewLater,IDD_Detection/Annotations/frontNear/BLR-2018-05-29_10-49-32_frontNear/0003075.xml,1,1,399126,475,387,1188,945
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-22_11-54-07_frontNear/0001365.xml,1,1,398720,1298,326,1920,965
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideLeft/BLR-2018-04-16_15-44-27_sideLeft/000030_r.xml,5,5,398650,1323,2,1917,671
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-06-05_08-50-18_sideRight/000064_r.xml,1,1,397936,855,1,1918,374
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-04-19_17-26-55_sideRight/000876_r.xml,1,1,397824,924,186,1595,777
vehicle fallback,street cart,IDD_Detection/Annotations/sideRight/BLR-2018-05-14_11-40-01_sideRight/000282_r.xml,1,1,397296,111,529,854,1062
vehicle fallback,tractor,IDD_Detection/Annotations/highquality_16k/BLR-2018-06-29-10-07-38_part_40/0000600.xml,1,1,396228,1282,456,1917,1078
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_1_sideRight/000864_r.xml,1,1,393754,1295,1,1920,629
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-05-17_15-45-06_sideRight/000714_r.xml,1,1,392010,1026,447,1920,884
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-22_11-54-07_sideLeft/000226_r.xml,3,3,390656,227,633,1098,1080
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-03-22_17-39-26_2_sideRight/000882_r.xml,1,1,387933,1544,52,1920,1080
vehicle fallback,trailer,IDD_Detection/Annotations/sideRight/BLR-2018-05-17_15-45-06_sideRight/000108_r.xml,1,1,384468,1,344,644,940
vehicle fallback,tractor-water tanker,IDD_Detection/Annotations/frontNear/BLR-2018-05-31_13-01-28_frontNear/001387_r.xml,3,3,381730,1328,432,1917,1078
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-14_13-29-20_sideLeft/0005880.xml,1,1,378432,85,205,660,861
vehicle fallback,crane,IDD_Detection/Annotations/highquality_16k/HYD-2018-04-26_13-30-01/0005323.xml,2,2,377208,712,1,1387,558
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-06-06_16-41-17_sideLeft/000442_r.xml,2,2,375870,4,570,740,1079
vehicle fallback,ReviewLater,IDD_Detection/Annotations/frontNear/BLR-2018-05-29_10-49-32_frontNear/000307_r.xml,1,2,371700,540,424,1239,954
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-05-09_12-50-30_sideLeft/0008820.xml,4,4,369660,1,576,732,1080
vehicle fallback,street cart,IDD_Detection/Annotations/rearNear/BLR-2018-05-31_13-01-28_rearNear/001414_r.xml,1,1,368550,1374,338,1919,1012
vehicle fallback,trailer,IDD_Detection/Annotations/highquality_16k/HYD-2018-06-15_11-55-11_frontNear_left/0005385.xml,1,2,367830,2,478,611,1080
vehicle fallback,excavator,IDD_Detection/Annotations/highquality_16k/BLR-2018-04-25_09-11-44_frontNear_left/0004560.xml,3,3,367227,0,239,468,1021
vehicle fallback,ReviewLater,IDD_Detection/Annotations/sideRight/BLR-2018-04-19_17-26-55_sideRight/0008760.xml,1,1,366704,927,225,1614,757
vehicle fallback,ReviewLater,IDD_Detection/Annotations/highquality_16k/BLR-2018-05-03_14-39-45_sideLeft_left/0008205.xml,2,2,365944,1318,467,1913,1080
vehicle fallback,tractor,IDD_Detection/Annotations/rearNear/BLR-2018-05-29_11-19-12_rearNear/000843_r.xml,1,1,364620,1,196,412,1080
vehicle fallback,street cart,IDD_Detection/Annotations/sideLeft/BLR-2018-04-26_12-40-01_sideLeft/0000120.xml,1,1,364236,1122,603,1883,1080
